Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1/1/2025 7:20,93731.25,93757.58,93723.01,93741.64,24.73469,25:00.0,2318564.106,2433,12.89091,1208315.337,0
1/1/2025 7:25,93741.63,93786.04,93741.63,93786.03,6.11898,30:00.0,573758.319,1733,5.04156,472729.215,0
1/1/2025 7:30,93786.03,93786.04,93766.39,93768.58,11.69684,35:00.0,1096910.892,1576,3.19872,299956.3015,0
1/1/2025 7:35,93768.58,93800,93758.42,93780.03,17.29502,40:00.0,1621855.874,2424,8.52129,799097.7161,0
1/1/2025 7:40,93780.04,93780.04,93727.27,93741.15,8.99149,45:00.0,842904.3797,2342,4.02864,377634.5286,0
1/1/2025 7:45,93741.15,93749.26,93721.9,93721.9,18.9981,50:00.0,1780820.259,1476,7.63117,715363.9626,0
1/1/2025 7:50,93721.91,93767.76,93721.9,93767.76,5.57409,55:00.0,522574.1768,1530,4.16157,390139.5515,0
1/1/2025 7:55,93767.76,93767.76,93664.09,93684.1,62.73869,00:00.0,5879007.637,1874,4.44482,416459.2458,0
1/1/2025 8:00,93684.11,93714.09,93684.1,93714.08,14.76848,05:00.0,1383853.585,1344,6.46304,605588.4012,0
1/1/2025 8:05,93714.08,93756.02,93677.44,93729.52,32.3881,10:00.0,3035039.112,2084,18.00997,1687653.842,0
1/1/2025 8:10,93729.53,93746.4,93721.24,93746.39,24.88912,15:00.0,2332923.206,1367,16.00085,1499812.739,0
1/1/2025 8:15,93746.39,93746.4,93683.68,93683.68,21.28368,20:00.0,1994569.733,1833,8.42801,789714.4275,0
1/1/2025 8:20,93683.68,93683.69,93672.8,93672.81,5.67263,25:00.0,531414.3715,1307,2.03693,190821.3911,0
1/1/2025 8:25,93672.8,93672.81,93304,93416.41,218.37439,30:00.0,20418415.49,14281,37.45431,3499064.441,0
1/1/2025 8:30,93416.41,93514.65,93400,93457.32,35.11413,35:00.0,3281939.963,6526,18.7203,1749815.448,0
1/1/2025 8:35,93457.33,93513.3,93434.27,93467.35,25.7128,40:00.0,2403613.366,3784,4.52913,423374.7927,0
1/1/2025 8:40,93467.35,93527.21,93467.35,93476.46,18.44516,45:00.0,1724805.263,2901,8.0848,756021.4286,0
1/1/2025 8:45,93476.46,93476.46,93320,93389.99,35.90884,50:00.0,3353526.949,6407,18.43655,1721647.804,0
