Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-03-01 18:25:00,2203.52000000,2208.55000000,2203.51000000,2207.53000000,650.28440000,2025-03-01 18:29:59.999,1434951.67602400,6546,231.94540000,511699.58352600,0
2025-03-01 18:30:00,2207.54000000,2216.49000000,2207.15000000,2213.10000000,1929.03490000,2025-03-01 18:34:59.999,4265187.33470500,10310,1187.20750000,2624773.41257800,0
2025-03-01 18:35:00,2213.09000000,2214.38000000,2209.54000000,2211.23000000,1139.04820000,2025-03-01 18:39:59.999,2519340.19613900,9746,558.74350000,1235830.52787600,0
2025-03-01 18:40:00,2211.22000000,2217.00000000,2210.93000000,2215.71000000,749.40320000,2025-03-01 18:44:59.999,1659176.06576700,7846,332.91080000,736994.60836300,0
2025-03-01 18:45:00,2215.70000000,2219.00000000,2211.55000000,2212.09000000,1277.43870000,2025-03-01 18:49:59.999,2830643.66605000,8444,702.79440000,1557503.96304500,0
2025-03-01 18:50:00,2212.09000000,2212.87000000,2208.61000000,2211.71000000,1113.55410000,2025-03-01 18:54:59.999,2461887.25696300,5859,264.14590000,583913.74836200,0
2025-03-01 18:55:00,2211.71000000,2213.88000000,2210.42000000,2212.11000000,880.68340000,2025-03-01 18:59:59.999,1948286.06262700,4970,617.85750000,1366851.72853600,0
2025-03-01 19:00:00,2212.11000000,2215.90000000,2211.23000000,2215.50000000,1016.52500000,2025-03-01 19:04:59.999,2250066.37611900,6957,526.96130000,1166332.94753600,0
2025-03-01 19:05:00,2215.50000000,2218.58000000,2215.00000000,2218.10000000,824.49390000,2025-03-01 19:09:59.999,1827456.10498500,5518,511.22960000,1133097.43614700,0
2025-03-01 19:10:00,2218.11000000,2223.97000000,2217.58000000,2222.10000000,2125.75030000,2025-03-01 19:14:59.999,4720101.41752500,7377,1381.65800000,3068146.17989400,0
2025-03-01 19:15:00,2222.09000000,2225.27000000,2218.81000000,2221.01000000,973.13810000,2025-03-01 19:19:59.999,2161692.88294900,7084,600.28890000,1333030.75613500,0
2025-03-01 19:20:00,2221.01000000,2223.00000000,2218.61000000,2222.50000000,708.21160000,2025-03-01 19:24:59.999,1572391.18867800,4286,388.47410000,862484.31041300,0
2025-03-01 19:25:00,2222.50000000,2226.53000000,2220.39000000,2223.71000000,629.13620000,2025-03-01 19:29:59.999,1399202.30990700,6032,275.72190000,613262.13096500,0
2025-03-01 19:30:00,2223.70000000,2234.60000000,2222.90000000,2229.21000000,2435.02910000,2025-03-01 19:34:59.999,5429701.39626300,11442,1283.45480000,2861177.81897900,0
2025-03-01 19:35:00,2229.22000000,2230.66000000,2219.57000000,2220.25000000,1244.64840000,2025-03-01 19:39:59.999,2768719.69406300,8593,396.91830000,882924.82381300,0
2025-03-01 19:40:00,2220.25000000,2225.19000000,2219.75000000,2223.28000000,666.12140000,2025-03-01 19:44:59.999,1480379.69924100,4777,382.81120000,850684.44047000,0
2025-03-01 19:45:00,2223.29000000,2224.63000000,2220.80000000,2222.31000000,554.44650000,2025-03-01 19:49:59.999,1232645.11640300,6159,255.67990000,568404.96989900,0
2025-03-01 19:50:00,2222.30000000,2224.80000000,2219.49000000,2223.49000000,1048.48730000,2025-03-01 19:54:59.999,2329362.71530800,6238,327.84910000,728320.74922900,0
2025-03-01 19:55:00,2223.49000000,2224.60000000,2222.01000000,2223.31000000,510.49710000,2025-03-01 19:59:59.999,1135031.08358100,3992,203.85250000,453233.02893900,0
2025-03-01 20:00:00,2223.31000000,2224.98000000,2219.59000000,2220.90000000,796.81720000,2025-03-01 20:04:59.999,1770257.66990800,5428,192.37430000,427400.82394000,0
2025-03-01 20:05:00,2220.91000000,2223.17000000,2219.21000000,2220.39000000,840.74550000,2025-03-01 20:09:59.999,1867626.68272700,5291,313.66810000,696634.91115800,0
2025-03-01 20:10:00,2220.40000000,2223.99000000,2217.59000000,2218.53000000,824.27120000,2025-03-01 20:14:59.999,1830937.64670000,5719,304.24500000,675815.07502800,0
2025-03-01 20:15:00,2218.53000000,2223.89000000,2215.32000000,2223.89000000,1915.46470000,2025-03-01 20:19:59.999,4249811.30424900,6990,723.41700000,1604918.46296400,0
2025-03-01 20:20:00,2223.90000000,2224.19000000,2217.81000000,2218.29000000,1625.29610000,2025-03-01 20:24:59.999,3610915.78874300,5349,437.31860000,971472.73013100,0
2025-03-01 20:25:00,2218.30000000,2220.50000000,2217.60000000,2220.31000000,974.08420000,2025-03-01 20:29:59.999,2161625.58439700,4430,372.08510000,825698.34381500,0
2025-03-01 20:30:00,2220.30000000,2221.60000000,2218.30000000,2220.71000000,615.81680000,2025-03-01 20:34:59.999,1367106.51318500,4837,165.15790000,366672.18724100,0
2025-03-01 20:35:00,2220.71000000,2223.20000000,2220.71000000,2222.19000000,742.13060000,2025-03-01 20:39:59.999,1649019.34742700,5637,347.04160000,771041.84447300,0
2025-03-01 20:40:00,2222.19000000,2223.00000000,2221.00000000,2222.38000000,565.30970000,2025-03-01 20:44:59.999,1256045.40276000,3523,197.04980000,437800.78078100,0
2025-03-01 20:45:00,2222.38000000,2224.59000000,2221.42000000,2222.41000000,641.69230000,2025-03-01 20:49:59.999,1426428.29370500,4471,231.85330000,515427.45678400,0
2025-03-01 20:50:00,2222.40000000,2226.10000000,2220.68000000,2224.79000000,789.46250000,2025-03-01 20:54:59.999,1755576.82456800,4512,402.30620000,894856.80919200,0
2025-03-01 20:55:00,2224.80000000,2226.10000000,2222.61000000,2225.30000000,623.35340000,2025-03-01 20:59:59.999,1386435.48134900,4288,266.86510000,593565.39627900,0
2025-03-01 21:00:00,2225.29000000,2226.00000000,2220.90000000,2222.98000000,750.59790000,2025-03-01 21:04:59.999,1668736.74730900,6244,230.84470000,513151.95057000,0
2025-03-01 21:05:00,2222.98000000,2225.99000000,2219.60000000,2221.99000000,1009.63460000,2025-03-01 21:09:59.999,2243571.62373300,5427,442.33590000,982838.47250000,0
2025-03-01 21:10:00,2221.99000000,2222.59000000,2211.71000000,2213.06000000,3329.12120000,2025-03-01 21:14:59.999,7378277.50016900,11166,1168.97010000,2590854.07630500,0
2025-03-01 21:15:00,2213.07000000,2216.05000000,2208.29000000,2214.71000000,2464.70700000,2025-03-01 21:19:59.999,5454375.80459900,9399,964.46010000,2134420.34364700,0
2025-03-01 21:20:00,2214.71000000,2215.96000000,2210.80000000,2214.50000000,885.37590000,2025-03-01 21:24:59.999,1959811.84969700,6935,326.90340000,723611.81458200,0
2025-03-01 21:25:00,2214.51000000,2219.00000000,2214.41000000,2217.07000000,938.42790000,2025-03-01 21:29:59.999,2080474.31374600,6313,434.24400000,962729.23462800,0
2025-03-01 21:30:00,2217.06000000,2219.54000000,2215.57000000,2219.31000000,969.37690000,2025-03-01 21:34:59.999,2149567.89513300,6733,368.37250000,816931.04295400,0
2025-03-01 21:35:00,2219.31000000,2221.98000000,2215.14000000,2215.15000000,979.49900000,2025-03-01 21:39:59.999,2173450.44329100,5819,305.90050000,678955.81490900,0
2025-03-01 21:40:00,2215.15000000,2216.38000000,2212.47000000,2215.39000000,1481.96750000,2025-03-01 21:44:59.999,3281403.45644100,5604,535.65330000,1185982.08382600,0
2025-03-01 21:45:00,2215.39000000,2218.90000000,2214.70000000,2218.35000000,1082.41730000,2025-03-01 21:49:59.999,2399383.76432500,6326,507.34210000,1124740.53697500,0
2025-03-01 21:50:00,2218.35000000,2226.71000000,2217.40000000,2225.50000000,1295.70810000,2025-03-01 21:54:59.999,2880403.16735300,6707,842.98550000,1873856.04661800,0
2025-03-01 21:55:00,2225.51000000,2233.67000000,2224.05000000,2229.53000000,3411.75210000,2025-03-01 21:59:59.999,7607980.66783400,10449,2496.23090000,5565935.49582400,0
2025-03-01 22:00:00,2229.50000000,2230.60000000,2224.40000000,2230.15000000,1769.32150000,2025-03-01 22:04:59.999,3939298.77787000,8238,836.15760000,1861327.96621200,0
2025-03-01 22:05:00,2230.14000000,2235.99000000,2226.82000000,2232.22000000,1588.12970000,2025-03-01 22:09:59.999,3545068.25750200,8956,857.41480000,1914245.61374900,0
2025-03-01 22:10:00,2232.21000000,2232.99000000,2223.62000000,2224.31000000,1641.59140000,2025-03-01 22:14:59.999,3657079.88733400,8637,501.18340000,1116077.75560700,0
2025-03-01 22:15:00,2224.32000000,2225.18000000,2217.80000000,2218.20000000,1358.70520000,2025-03-01 22:19:59.999,3018572.64583600,8412,484.69740000,1076881.90127600,0
2025-03-01 22:20:00,2218.21000000,2222.04000000,2216.58000000,2218.98000000,1022.65890000,2025-03-01 22:24:59.999,2270115.64406000,5137,479.47840000,1064488.74747800,0
2025-03-01 22:25:00,2218.98000000,2221.60000000,2216.60000000,2219.91000000,652.25300000,2025-03-01 22:29:59.999,1447435.06488300,4077,202.93130000,450212.99998000,0
2025-03-01 22:30:00,2219.91000000,2220.61000000,2211.09000000,2211.78000000,1314.16670000,2025-03-01 22:34:59.999,2910438.85782000,6404,286.37580000,634185.29568500,0
2025-03-01 22:35:00,2211.78000000,2216.44000000,2211.77000000,2214.92000000,1216.97120000,2025-03-01 22:39:59.999,2694627.21287800,5290,629.71670000,1394288.93748500,0
2025-03-01 22:40:00,2214.92000000,2220.68000000,2214.17000000,2219.35000000,1048.59370000,2025-03-01 22:44:59.999,2325894.02690700,3214,530.65300000,1177109.43876300,0
2025-03-01 22:45:00,2219.35000000,2219.51000000,2214.56000000,2214.57000000,847.19630000,2025-03-01 22:49:59.999,1878796.24701100,4752,170.57920000,378215.30501400,0
2025-03-01 22:50:00,2214.56000000,2218.40000000,2212.98000000,2218.39000000,604.94200000,2025-03-01 22:54:59.999,1340695.35264900,3862,237.59320000,526617.93336800,0
2025-03-01 22:55:00,2218.40000000,2221.40000000,2213.87000000,2214.99000000,738.78980000,2025-03-01 22:59:59.999,1637695.37351300,5223,277.33280000,614852.19693500,0
2025-03-01 23:00:00,2214.99000000,2217.72000000,2210.55000000,2211.49000000,836.29260000,2025-03-01 23:04:59.999,1851126.51426700,9209,288.15880000,637826.36298100,0
2025-03-01 23:05:00,2211.49000000,2211.49000000,2195.68000000,2199.50000000,3496.40200000,2025-03-01 23:09:59.999,7701793.36405700,18026,1388.25450000,3056768.28707100,0
2025-03-01 23:10:00,2199.50000000,2203.51000000,2198.21000000,2200.39000000,1290.29460000,2025-03-01 23:14:59.999,2838978.34021600,8805,430.77080000,948076.60270200,0
2025-03-01 23:15:00,2200.39000000,2207.00000000,2191.10000000,2203.85000000,2581.52770000,2025-03-01 23:19:59.999,5670113.28858200,13178,1177.51290000,2587240.00652100,0
2025-03-01 23:20:00,2203.85000000,2207.70000000,2203.11000000,2205.67000000,821.12290000,2025-03-01 23:24:59.999,1810956.19225900,9061,321.86960000,709869.23202600,0
2025-03-01 23:25:00,2205.66000000,2209.65000000,2204.05000000,2206.79000000,776.73420000,2025-03-01 23:29:59.999,1713987.63189600,5913,348.70500000,769600.40825800,0
2025-03-01 23:30:00,2206.80000000,2211.30000000,2205.15000000,2210.80000000,694.89720000,2025-03-01 23:34:59.999,1534014.90659500,7877,284.40840000,627857.47408800,0
2025-03-01 23:35:00,2210.81000000,2210.81000000,2207.64000000,2207.81000000,734.54930000,2025-03-01 23:39:59.999,1622657.11781000,6372,330.13310000,729267.61767400,0
2025-03-01 23:40:00,2207.82000000,2209.54000000,2205.52000000,2207.71000000,571.15210000,2025-03-01 23:44:59.999,1260876.98627400,5143,179.48560000,396248.81212600,0
2025-03-01 23:45:00,2207.70000000,2211.00000000,2207.70000000,2210.51000000,846.34100000,2025-03-01 23:49:59.999,1870294.27602100,5059,373.41530000,825253.64806500,0
2025-03-01 23:50:00,2210.51000000,2215.91000000,2210.51000000,2214.20000000,1563.14000000,2025-03-01 23:54:59.999,3458231.05817400,6194,786.45490000,1739885.95447900,0
2025-03-01 23:55:00,2214.19000000,2219.95000000,2214.11000000,2217.39000000,2275.99040000,2025-03-01 23:59:59.999,5045745.85968300,6003,1387.90590000,3076862.76701100,0
2025-03-02 00:00:00,2217.40000000,2217.40000000,2212.61000000,2216.40000000,1381.71450000,2025-03-02 00:04:59.999,3060369.76645800,8537,528.24950000,1169856.99242800,0
2025-03-02 00:05:00,2216.40000000,2221.30000000,2214.00000000,2218.31000000,1199.66000000,2025-03-02 00:09:59.999,2659898.05779700,9829,639.45510000,1417882.35321600,0
