Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
3/3/2024 0:30,3413.41,3431,3413.4,3427.86,7629.3401,00:00.0,26135785.93,24894,4198.6424,14382252.66,0
3/3/2024 1:00,3427.86,3434,3422.42,3425.62,5773.4131,30:00.0,19793992.64,20516,2806.6469,9623433.259,0
3/3/2024 1:30,3425.61,3432.32,3423.92,3430.76,4586.0493,00:00.0,15719968.17,14313,2311.0581,7921026.794,0
3/3/2024 2:00,3430.75,3430.97,3413.01,3413.69,4525.8448,30:00.0,15486492.32,17101,2010.698,6879646.383,0
3/3/2024 2:30,3413.69,3420.6,3410.81,3416.1,4409.4703,00:00.0,15061805.06,15706,2357.4599,8052863.731,0
3/3/2024 3:00,3416.11,3426.56,3415.16,3424.94,3598.0587,30:00.0,12308270.1,13217,2175.7144,7440483.301,0
3/3/2024 3:30,3424.94,3431.86,3424.47,3431.56,5378.8956,00:00.0,18443893.08,14958,3324.0908,11398164.46,0
3/3/2024 4:00,3431.57,3445,3428.78,3444.63,8618.281,30:00.0,29625381.43,18540,5118.0385,17590876.06,0
3/3/2024 4:30,3444.63,3446.23,3436.62,3440.6,5093.3465,00:00.0,17531028.07,15785,2261.0427,7782014.367,0
3/3/2024 5:00,3440.59,3443.69,3431.46,3432.26,4791.3158,30:00.0,16464781.37,16261,2487.4371,8547289.727,0
3/3/2024 5:30,3432.26,3434.08,3420.72,3421.4,5189.5675,00:00.0,17781102.24,18387,2408.0459,8250088.134,0
3/3/2024 6:00,3421.4,3424.5,3408.83,3423.77,8309.0666,30:00.0,28380226.16,26055,3714.0504,12687194.62,0
3/3/2024 6:30,3423.77,3425.8,3412.08,3412.51,4299.0162,00:00.0,14685370.17,18767,1780.3028,6081869.123,0
3/3/2024 7:00,3412.5,3415.23,3360,3380.21,20446.7179,30:00.0,69267155.98,50797,8180.3099,27705380.12,0
3/3/2024 7:30,3380.2,3403.64,3366.46,3392.76,19304.7251,00:00.0,65417136.31,52313,10119.7808,34292619.18,0
3/3/2024 8:00,3392.76,3401.77,3375,3388.87,12867.0264,30:00.0,43570630.11,42389,5923.2479,20063308.06,0
3/3/2024 8:30,3388.87,3401.45,3387.92,3395.37,6132.249,00:00.0,20830573.78,24184,3063.1461,10405028.08,0
3/3/2024 9:00,3395.38,3410.78,3391.94,3406.68,6196.3148,30:00.0,21096599.53,25412,3186.8597,10850593.51,0
3/3/2024 9:30,3406.68,3414.91,3401.53,3407.02,8434.5083,00:00.0,28747150.41,23704,4257.7591,14510888.45,0
3/3/2024 10:00,3407.01,3408.93,3396.13,3408.6,5177.2667,30:00.0,17615305.5,20357,2276.9593,7747406.799,0
3/3/2024 10:30,3408.59,3409.98,3399.32,3400.46,3214.458,00:00.0,10943976.32,15131,1515.4064,5159983.947,0
3/3/2024 11:00,3400.46,3409.67,3395.95,3405.4,4174.4668,30:00.0,14207802.98,15761,1981.1628,6742536.038,0
3/3/2024 11:30,3405.4,3414,3402.86,3413.39,5617.4152,00:00.0,19148354.16,17040,2652.2656,9041348.245,0
3/3/2024 12:00,3413.39,3447.53,3411.4,3442.38,15775.5865,30:00.0,54185911.98,45986,8563.8709,29410820.79,0
3/3/2024 12:30,3442.38,3444.49,3419.4,3419.51,10547.0778,00:00.0,36190999.91,33915,5039.3284,17295953.03,0
3/3/2024 13:00,3419.51,3427.03,3403.92,3416.46,9344.8565,30:00.0,31922283.1,31837,4730.2881,16159685.21,0
3/3/2024 13:30,3416.46,3429.03,3411.86,3428.75,5408.6931,00:00.0,18509463.54,22959,3001.072,10268404.77,0
3/3/2024 14:00,3428.75,3436.05,3423.27,3434.34,4681.3367,30:00.0,16055215.08,18684,2605.5009,8936831.706,0
3/3/2024 14:30,3434.34,3436.41,3415.81,3418.45,5983.1762,00:00.0,20490974.47,25313,2421.7736,8295144.624,0
3/3/2024 15:00,3418.44,3429.92,3418.44,3422.07,4597.7049,30:00.0,15745231.13,20233,2125.2577,7278831.361,0
3/3/2024 15:30,3422.07,3431.24,3417.8,3422.5,4166.8886,00:00.0,14273635.25,15425,2180.021,7468398.756,0
3/3/2024 16:00,3422.5,3442.34,3418.22,3441.5,7765.3803,30:00.0,26637325.29,26856,4058.1987,13924697.68,0
3/3/2024 16:30,3441.5,3483.81,3438.99,3480.52,26377.4121,00:00.0,91396179.68,59636,14513.4332,50282176.38,0
3/3/2024 17:00,3480.51,3484.44,3462.2,3464.27,11283.1629,30:00.0,39185336.17,29294,4540.2297,15770866.41,0
3/3/2024 17:30,3464.26,3469.79,3454.68,3460.74,6806.7021,00:00.0,23568718.79,22528,3096.4256,10720628.22,0
3/3/2024 18:00,3460.75,3472.46,3460.74,3465.33,4396.0056,30:00.0,15240328.95,15468,2189.6656,7590989.188,0
3/3/2024 18:30,3465.32,3473.8,3457,3469.8,5081.455,00:00.0,17618374.7,19186,2470.7035,8567523.537,0
3/3/2024 19:00,3469.8,3474.48,3463.8,3467.4,4055.9969,30:00.0,14070124.05,15957,1953.0068,6775754.195,0
3/3/2024 19:30,3467.4,3471.46,3462.6,3465.2,3862.8016,00:00.0,13389158.28,14213,1648.8719,5715158.564,0
3/3/2024 20:00,3465.2,3473.5,3458.65,3471.25,3337.8209,30:00.0,11565709.16,14182,1628.2045,5642610.351,0
3/3/2024 20:30,3471.25,3473.55,3464.6,3468.25,3164.8487,00:00.0,10979242.9,13404,1724.4625,5982550.76,0
3/3/2024 21:00,3468.24,3472.58,3462.14,3468.57,2856.5974,30:00.0,9904629.135,12021,1494.9069,5183322.628,0
3/3/2024 21:30,3468.58,3478.34,3468.57,3476.95,2914.1112,00:00.0,10124151.74,13047,1747.0219,6069658.162,0
3/3/2024 22:00,3476.94,3491.8,3469.83,3488.56,7450.5799,30:00.0,25950695.39,26456,4212.7742,14675204.2,0
3/3/2024 22:30,3488.56,3490.06,3461,3473.82,8908.166,00:00.0,30985986.39,27122,4401.5137,15313097.62,0
3/3/2024 23:00,3473.83,3481.89,3465.13,3480.45,7390.0914,30:00.0,25661096.06,27955,3257.8653,11312140.67,0
3/3/2024 23:30,3480.46,3490.6,3473.84,3487.81,5411.1998,00:00.0,18845823.44,21004,2703.434,9416440.59,0
3/4/2024 0:00,3487.8,3527.94,3479.73,3526.2,21514.0137,30:00.0,75372817.48,50345,13720.3589,48084372,0
3/4/2024 0:30,3526.2,3528.96,3423.78,3485.51,38414.5934,00:00.0,134077812.7,91648,18032.7137,62938953.09,0
3/4/2024 1:00,3485.52,3493.21,3467.46,3489.39,11703.9184,30:00.0,40738303.54,36956,6001.8133,20894868.31,0
3/4/2024 1:30,3489.39,3489.8,3477.36,3478.21,6126.8154,00:00.0,21343315.42,26676,2558.2973,8911852.17,0
